"COU","Country","GFT_CAT","Category","CONTRIB","Contribution","UNIT","Measure","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","M_DP_D","Disaster relief payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,239750,,
"USA","United States","M_DP_D","Disaster relief payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,43956000,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2000","2000","USD","US Dollar","0","Units",,,36229537.864,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2001","2001","USD","US Dollar","0","Units",,,33536122.017,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2002","2002","USD","US Dollar","0","Units",,,35537846.579,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2003","2003","USD","US Dollar","0","Units",,,45486396.09,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,36241235.609,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,43626831.821,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,51551406.156,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,65192855.024,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,50733417.402,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,31041397.809,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,21044507.112,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,11297363.371,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,-38825101.105,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,-40059475.768,,
"ISL","Iceland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,39872325.742,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,2612791.694,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,30302359.561,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,68745504.288,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,32928449.15,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,7929202.081,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,5636794.336,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,5260158.73,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,3230659.924,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,2929357.736,,
"TWN","Chinese Taipei","M_DP","Direct Payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,4046859.254,,
"POL","Poland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,97326848.526,,
"POL","Poland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,34264065.775,,
"POL","Poland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,28325730.102,,
"POL","Poland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,38085266.03,,
"POL","Poland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,5407437.459,,
"POL","Poland","M","Marine Capture Fisheries","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,10789685.351,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,2232405.796,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,3919219.003,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,3230685.622,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,3175804.371,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,4948668.831,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,3829520.929,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,3486454.804,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,3776545.175,,
"DNK","Denmark","A_GS_OTH","Other general services","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,2482097.409,,
