"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GSRND","Research and development ","USD","US dollar","2013","2013",,,"0","Units",,,4025451.81,,
"AUS","Australia","GSRND","Research and development ","USD","US dollar","2014","2014",,,"0","Units",,,3079920.856,,
"AUS","Australia","GSMNG","Management of resources","USD","US dollar","2011","2011",,,"0","Units",,,26973087.988,,
"AUS","Australia","GSMNG","Management of resources","USD","US dollar","2012","2012",,,"0","Units",,,25463653.982,,
"AUS","Australia","GSMNG","Management of resources","USD","US dollar","2013","2013",,,"0","Units",,,21591936.865,,
"AUS","Australia","GSMNG","Management of resources","USD","US dollar","2014","2014",,,"0","Units",,,25920188.484,,
"AUS","Australia","GSMNG_EXP","Management expenditures ","USD","US dollar","2011","2011",,,"0","Units",,,26973087.988,,
"AUS","Australia","GSMNG_EXP","Management expenditures ","USD","US dollar","2012","2012",,,"0","Units",,,25463653.982,,
"AUS","Australia","GSMNG_EXP","Management expenditures ","USD","US dollar","2013","2013",,,"0","Units",,,21591936.865,,
"AUS","Australia","GSMNG_EXP","Management expenditures ","USD","US dollar","2014","2014",,,"0","Units",,,25920188.484,,
"BEL","Belgium","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2009","2009",,,"0","Units",,,16132197.4,,
"BEL","Belgium","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2010","2010",,,"0","Units",,,16268611.071,,
"BEL","Belgium","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2011","2011",,,"0","Units",,,5420657.005,,
"BEL","Belgium","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2012","2012",,,"0","Units",,,11695504.391,,
"BEL","Belgium","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2013","2013",,,"0","Units",,,6873511.782,,
"BEL","Belgium","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2014","2014",,,"0","Units",,,7284130.909,,
