,Region Name,Country,Class,Category,Type,Constant 2018 USD,Data Type
1084,Africa,Morocco,A2,Beneficial,Fishery R&D,20104068.72,Modeled
1085,Africa,Morocco,A3,Beneficial,MPAs,2795403.864,Modeled
1086,Africa,Morocco,B1,Capacity-enhancing,Boat constsruct. & renov.,11581371.69,Modeled
1087,Africa,Morocco,B2,Capacity-enhancing,Fisheries dev. projects,165989449.2,Reported
1088,Africa,Morocco,B3,Capacity-enhancing,Fishing port develop.,1643404.053,Reported
1089,Africa,Morocco,B4,Capacity-enhancing,Markt. & storage infrast.,13351220.26,Reported
1090,Africa,Morocco,B5,Capacity-enhancing,Tax exemption,7531986.7,Reported
1091,Africa,Morocco,B6,Capacity-enhancing,Fishing access,289710.22,Modeled
1918,Africa,Morocco,B7,Capacity-enhancing,Fuel subsidies,8047876.2,Reported
1092,Africa,Morocco,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1093,Africa,Morocco,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1094,Africa,Morocco,C3,Ambiguous,Rural fisher communities,10343114.38,Modeled
1095,Africa,Mozambique,A1,Beneficial,Fisheries mangt.,13228364.17,Reported
1096,Africa,Mozambique,A2,Beneficial,Fishery R&D,525204.4784,Reported
1097,Africa,Mozambique,A3,Beneficial,MPAs,1300751.471,Modeled
1098,Africa,Mozambique,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1099,Africa,Mozambique,B2,Capacity-enhancing,Fisheries dev. projects,7936405.885,Reported
1100,Africa,Mozambique,B3,Capacity-enhancing,Fishing port develop.,11923445.75,Modeled
1101,Africa,Mozambique,B4,Capacity-enhancing,Markt. & storage infrast.,383333.33,Reported
1102,Africa,Mozambique,B5,Capacity-enhancing,Tax exemption,2391873.083,Modeled
1103,Africa,Mozambique,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
1919,Africa,Mozambique,B7,Capacity-enhancing,Fuel subsidies,1179118.776,Modeled
1104,Africa,Mozambique,C1,Ambiguous,Fisher assistance,8995.483238,Reported
1105,Africa,Mozambique,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1106,Africa,Mozambique,C3,Ambiguous,Rural fisher communities,610800.2552,Modeled
1119,Africa,Namibia,A1,Beneficial,Fisheries mangt.,12877659.34,Reported
1120,Africa,Namibia,A2,Beneficial,Fishery R&D,3409343.886,Modeled
1121,Africa,Namibia,A3,Beneficial,MPAs,592958.2479,Modeled
1122,Africa,Namibia,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1123,Africa,Namibia,B2,Capacity-enhancing,Fisheries dev. projects,294376.1161,Reported
1124,Africa,Namibia,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1125,Africa,Namibia,B4,Capacity-enhancing,Markt. & storage infrast.,45984143.96,Modeled
1126,Africa,Namibia,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
1127,Africa,Namibia,B6,Capacity-enhancing,Fishing access,13027.17,Modeled
1921,Africa,Namibia,B7,Capacity-enhancing,Fuel subsidies,4133740.475,Modeled
1128,Africa,Namibia,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1129,Africa,Namibia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1130,Africa,Namibia,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
1191,Africa,Nigeria,A1,Beneficial,Fisheries mangt.,988712.0057,Reported
1192,Africa,Nigeria,A2,Beneficial,Fishery R&D,209850.7696,Reported
1193,Africa,Nigeria,A3,Beneficial,MPAs,0,not found evidence of subsidy
1194,Africa,Nigeria,B1,Capacity-enhancing,Boat constsruct. & renov.,1465876.115,Reported
1195,Africa,Nigeria,B2,Capacity-enhancing,Fisheries dev. projects,1924207.983,Reported
1196,Africa,Nigeria,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1197,Africa,Nigeria,B4,Capacity-enhancing,Markt. & storage infrast.,21354888.93,Reported
1198,Africa,Nigeria,B5,Capacity-enhancing,Tax exemption,11068824.04,Modeled
1199,Africa,Nigeria,B6,Capacity-enhancing,Fishing access,1588003.99,Modeled
1927,Africa,Nigeria,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
1200,Africa,Nigeria,C1,Ambiguous,Fisher assistance,10766873.08,Modeled
1201,Africa,Nigeria,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1202,Africa,Nigeria,C3,Ambiguous,Rural fisher communities,2691887.436,Modeled
1431,Africa,Sao Tome Prn,A1,Beneficial,Fisheries mangt.,2612212.652,Reported
1432,Africa,Sao Tome Prn,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
1433,Africa,Sao Tome Prn,A3,Beneficial,MPAs,0,not found evidence of subsidy
1434,Africa,Sao Tome Prn,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1435,Africa,Sao Tome Prn,B2,Capacity-enhancing,Fisheries dev. projects,834621.543,Reported
1436,Africa,Sao Tome Prn,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1437,Africa,Sao Tome Prn,B4,Capacity-enhancing,Markt. & storage infrast.,546415.4411,Reported
1438,Africa,Sao Tome Prn,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
1439,Africa,Sao Tome Prn,B6,Capacity-enhancing,Fishing access,48719.93,Modeled
1947,Africa,Sao Tome Prn,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
1440,Africa,Sao Tome Prn,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1441,Africa,Sao Tome Prn,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1442,Africa,Sao Tome Prn,C3,Ambiguous,Rural fisher communities,63200.54775,Modeled
1455,Africa,Senegal,A1,Beneficial,Fisheries mangt.,18361362.53,Reported
1456,Africa,Senegal,A2,Beneficial,Fishery R&D,4298318.584,Modeled
1457,Africa,Senegal,A3,Beneficial,MPAs,2354040.162,Modeled
1458,Africa,Senegal,B1,Capacity-enhancing,Boat constsruct. & renov.,7321817.66,Reported
1459,Africa,Senegal,B2,Capacity-enhancing,Fisheries dev. projects,111374838,Modeled
1460,Africa,Senegal,B3,Capacity-enhancing,Fishing port develop.,22286705.89,Reported
1461,Africa,Senegal,B4,Capacity-enhancing,Markt. & storage infrast.,28967662.49,Reported
1462,Africa,Senegal,B5,Capacity-enhancing,Tax exemption,18549082.05,Modeled
1463,Africa,Senegal,B6,Capacity-enhancing,Fishing access,44711296.53,Modeled
1949,Africa,Senegal,B7,Capacity-enhancing,Fuel subsidies,17042252.59,Reported
1464,Africa,Senegal,C1,Ambiguous,Fisher assistance,18043074.08,Modeled
1465,Africa,Senegal,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1466,Africa,Senegal,C3,Ambiguous,Rural fisher communities,2211393.194,Modeled
1467,Africa,Seychelles,A1,Beneficial,Fisheries mangt.,17776804.84,Reported
1468,Africa,Seychelles,A2,Beneficial,Fishery R&D,420538.2963,Reported
1469,Africa,Seychelles,A3,Beneficial,MPAs,1909233.515,Modeled
1470,Africa,Seychelles,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1471,Africa,Seychelles,B2,Capacity-enhancing,Fisheries dev. projects,21325370.58,Reported
1472,Africa,Seychelles,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1473,Africa,Seychelles,B4,Capacity-enhancing,Markt. & storage infrast.,7976323.233,Reported
1474,Africa,Seychelles,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
1475,Africa,Seychelles,B6,Capacity-enhancing,Fishing access,363635.69,Modeled
1950,Africa,Seychelles,B7,Capacity-enhancing,Fuel subsidies,499972.9771,Modeled
1476,Africa,Seychelles,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1477,Africa,Seychelles,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1478,Africa,Seychelles,C3,Ambiguous,Rural fisher communities,162997.5337,Modeled
1479,Africa,Sierra Leone,A1,Beneficial,Fisheries mangt.,5072647.218,Reported
1480,Africa,Sierra Leone,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
1481,Africa,Sierra Leone,A3,Beneficial,MPAs,0,not found evidence of subsidy
1482,Africa,Sierra Leone,B1,Capacity-enhancing,Boat constsruct. & renov.,243918.504,Reported
1483,Africa,Sierra Leone,B2,Capacity-enhancing,Fisheries dev. projects,341475.072,Reported
1484,Africa,Sierra Leone,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1485,Africa,Sierra Leone,B4,Capacity-enhancing,Markt. & storage infrast.,297924,Reported
1486,Africa,Sierra Leone,B5,Capacity-enhancing,Tax exemption,3512030.886,Modeled
1487,Africa,Sierra Leone,B6,Capacity-enhancing,Fishing access,4326075.17,Modeled
1951,Africa,Sierra Leone,B7,Capacity-enhancing,Fuel subsidies,0,Reported
1488,Africa,Sierra Leone,C1,Ambiguous,Fisher assistance,16151.09768,Reported
1489,Africa,Sierra Leone,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1490,Africa,Sierra Leone,C3,Ambiguous,Rural fisher communities,54154.458,Reported
1527,Africa,Somalia,A1,Beneficial,Fisheries mangt.,2260639.781,Reported
1528,Africa,Somalia,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
1529,Africa,Somalia,A3,Beneficial,MPAs,0,not found evidence of subsidy
1530,Africa,Somalia,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1531,Africa,Somalia,B2,Capacity-enhancing,Fisheries dev. projects,399649.0802,Reported
1532,Africa,Somalia,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1533,Africa,Somalia,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
1534,Africa,Somalia,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
1535,Africa,Somalia,B6,Capacity-enhancing,Fishing access,24478.04,Modeled
1955,Africa,Somalia,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
1536,Africa,Somalia,C1,Ambiguous,Fisher assistance,513127.1214,Modeled
1537,Africa,Somalia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1538,Africa,Somalia,C3,Ambiguous,Rural fisher communities,919360.8355,Modeled
1539,Africa,South Africa,A1,Beneficial,Fisheries mangt.,35118651.21,Reported
1540,Africa,South Africa,A2,Beneficial,Fishery R&D,5411588.362,Reported
1541,Africa,South Africa,A3,Beneficial,MPAs,5841031.834,Modeled
1542,Africa,South Africa,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1543,Africa,South Africa,B2,Capacity-enhancing,Fisheries dev. projects,40618409.95,Modeled
1544,Africa,South Africa,B3,Capacity-enhancing,Fishing port develop.,41743.10668,Reported
1545,Africa,South Africa,B4,Capacity-enhancing,Markt. & storage infrast.,3579321.243,Reported
1546,Africa,South Africa,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
1547,Africa,South Africa,B6,Capacity-enhancing,Fishing access,623506.25,Modeled
1956,Africa,South Africa,B7,Capacity-enhancing,Fuel subsidies,25388558.57,Reported
1548,Africa,South Africa,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1549,Africa,South Africa,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1550,Africa,South Africa,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
1563,Africa,Sudan,A1,Beneficial,Fisheries mangt.,808084.1248,Reported
1564,Africa,Sudan,A2,Beneficial,Fishery R&D,29087.38393,Modeled
1565,Africa,Sudan,A3,Beneficial,MPAs,543131.3445,Modeled
1566,Africa,Sudan,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1567,Africa,Sudan,B2,Capacity-enhancing,Fisheries dev. projects,321225.8136,Reported
1568,Africa,Sudan,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1569,Africa,Sudan,B4,Capacity-enhancing,Markt. & storage infrast.,815311.9301,Modeled
1570,Africa,Sudan,B5,Capacity-enhancing,Tax exemption,96054.00835,Modeled
1571,Africa,Sudan,B6,Capacity-enhancing,Fishing access,171150.29,Modeled
1958,Africa,Sudan,B7,Capacity-enhancing,Fuel subsidies,0,Reported
1572,Africa,Sudan,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1573,Africa,Sudan,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1574,Africa,Sudan,C3,Ambiguous,Rural fisher communities,14964.83836,Modeled
1743,Africa,Tanzania,A1,Beneficial,Fisheries mangt.,91663.57466,Reported
1744,Africa,Tanzania,A2,Beneficial,Fishery R&D,1241042.428,Modeled
1745,Africa,Tanzania,A3,Beneficial,MPAs,3552888.17,Modeled
1746,Africa,Tanzania,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1747,Africa,Tanzania,B2,Capacity-enhancing,Fisheries dev. projects,84646.25771,Reported
1748,Africa,Tanzania,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1749,Africa,Tanzania,B4,Capacity-enhancing,Markt. & storage infrast.,645154.7056,Reported
1750,Africa,Tanzania,B5,Capacity-enhancing,Tax exemption,2588344.587,Modeled
1751,Africa,Tanzania,B6,Capacity-enhancing,Fishing access,123530.44,Modeled
1973,Africa,Tanzania,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
1752,Africa,Tanzania,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1753,Africa,Tanzania,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1754,Africa,Tanzania,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
1623,Africa,Togo,A1,Beneficial,Fisheries mangt.,4082945.453,Reported
1624,Africa,Togo,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
1625,Africa,Togo,A3,Beneficial,MPAs,0,not found evidence of subsidy
1626,Africa,Togo,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1627,Africa,Togo,B2,Capacity-enhancing,Fisheries dev. projects,1286920.477,Modeled
1628,Africa,Togo,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1629,Africa,Togo,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
1630,Africa,Togo,B5,Capacity-enhancing,Tax exemption,214332.0156,Modeled
1631,Africa,Togo,B6,Capacity-enhancing,Fishing access,160528.82,Modeled
1963,Africa,Togo,B7,Capacity-enhancing,Fuel subsidies,120090.904,Modeled
1632,Africa,Togo,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1633,Africa,Togo,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1634,Africa,Togo,C3,Ambiguous,Rural fisher communities,143890.5679,Modeled
1671,Africa,Tunisia,A1,Beneficial,Fisheries mangt.,276802.9333,Reported
1672,Africa,Tunisia,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
1673,Africa,Tunisia,A3,Beneficial,MPAs,1361672.086,Modeled
1674,Africa,Tunisia,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1675,Africa,Tunisia,B2,Capacity-enhancing,Fisheries dev. projects,7624710.37,Modeled
1676,Africa,Tunisia,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1677,Africa,Tunisia,B4,Capacity-enhancing,Markt. & storage infrast.,5791208.797,Modeled
1678,Africa,Tunisia,B5,Capacity-enhancing,Tax exemption,8975810.675,Modeled
1679,Africa,Tunisia,B6,Capacity-enhancing,Fishing access,184753.04,Modeled
1967,Africa,Tunisia,B7,Capacity-enhancing,Fuel subsidies,64122572.56,Modeled
1680,Africa,Tunisia,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1681,Africa,Tunisia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1682,Africa,Tunisia,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
84,Asia,Bahrain,A1,Beneficial,Fisheries mangt.,10990054.9,Modeled
85,Asia,Bahrain,A2,Beneficial,Fishery R&D,2575002.432,Modeled
86,Asia,Bahrain,A3,Beneficial,MPAs,0,not found evidence of subsidy
87,Asia,Bahrain,B1,Capacity-enhancing,Boat constsruct. & renov.,1653254.107,Modeled
88,Asia,Bahrain,B2,Capacity-enhancing,Fisheries dev. projects,0,not found evidence of subsidy
89,Asia,Bahrain,B3,Capacity-enhancing,Fishing port develop.,2848880.814,Modeled
90,Asia,Bahrain,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
91,Asia,Bahrain,B5,Capacity-enhancing,Tax exemption,5756514.089,Modeled
92,Asia,Bahrain,B6,Capacity-enhancing,Fishing access,989996.01,Modeled
1835,Asia,Bahrain,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
93,Asia,Bahrain,C1,Ambiguous,Fisher assistance,1106171.208,Modeled
94,Asia,Bahrain,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
95,Asia,Bahrain,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
96,Asia,Bangladesh,A1,Beneficial,Fisheries mangt.,9047546.933,Reported
97,Asia,Bangladesh,A2,Beneficial,Fishery R&D,7900501.951,Reported
98,Asia,Bangladesh,A3,Beneficial,MPAs,3718424.563,Modeled
99,Asia,Bangladesh,B1,Capacity-enhancing,Boat constsruct. & renov.,3883144.511,Modeled
100,Asia,Bangladesh,B2,Capacity-enhancing,Fisheries dev. projects,45813224.54,Modeled
101,Asia,Bangladesh,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
102,Asia,Bangladesh,B4,Capacity-enhancing,Markt. & storage infrast.,6598368.872,Reported
103,Asia,Bangladesh,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
104,Asia,Bangladesh,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
1836,Asia,Bangladesh,B7,Capacity-enhancing,Fuel subsidies,35088039.27,Modeled
105,Asia,Bangladesh,C1,Ambiguous,Fisher assistance,47308800,Reported
106,Asia,Bangladesh,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
107,Asia,Bangladesh,C3,Ambiguous,Rural fisher communities,2024552.428,Modeled
180,Asia,Brunei Darsm,A1,Beneficial,Fisheries mangt.,2676994.35,Modeled
181,Asia,Brunei Darsm,A2,Beneficial,Fishery R&D,627227.7092,Modeled
182,Asia,Brunei Darsm,A3,Beneficial,MPAs,291888.1474,Modeled
183,Asia,Brunei Darsm,B1,Capacity-enhancing,Boat constsruct. & renov.,331698.4963,Modeled
184,Asia,Brunei Darsm,B2,Capacity-enhancing,Fisheries dev. projects,0,not found evidence of subsidy
185,Asia,Brunei Darsm,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
186,Asia,Brunei Darsm,B4,Capacity-enhancing,Markt. & storage infrast.,745176.2492,Modeled
187,Asia,Brunei Darsm,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
188,Asia,Brunei Darsm,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
1843,Asia,Brunei Darsm,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
189,Asia,Brunei Darsm,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
190,Asia,Brunei Darsm,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
191,Asia,Brunei Darsm,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
228,Asia,Cambodia,A1,Beneficial,Fisheries mangt.,45397687.99,Modeled
229,Asia,Cambodia,A2,Beneficial,Fishery R&D,3666218.162,Modeled
230,Asia,Cambodia,A3,Beneficial,MPAs,831999.0866,Modeled
231,Asia,Cambodia,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
232,Asia,Cambodia,B2,Capacity-enhancing,Fisheries dev. projects,9972837.86,Modeled
233,Asia,Cambodia,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
234,Asia,Cambodia,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
235,Asia,Cambodia,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
236,Asia,Cambodia,B6,Capacity-enhancing,Fishing access,1495908.19,Modeled
1847,Asia,Cambodia,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
237,Asia,Cambodia,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
238,Asia,Cambodia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
239,Asia,Cambodia,C3,Ambiguous,Rural fisher communities,1886191.015,Modeled
300,Asia,China,A1,Beneficial,Fisheries mangt.,428865387,Reported
301,Asia,China,A2,Beneficial,Fishery R&D,172033.4961,Reported
302,Asia,China,A3,Beneficial,MPAs,5454908.028,Modeled
303,Asia,China,B1,Capacity-enhancing,Boat constsruct. & renov.,14581816.8,Reported
304,Asia,China,B2,Capacity-enhancing,Fisheries dev. projects,5752133.196,Reported
305,Asia,China,B2,Capacity-enhancing,Fisheries dev. projects,902580106.1,Modeled
306,Asia,China,B3,Capacity-enhancing,Fishing port develop.,185153513.2,Reported
307,Asia,China,B4,Capacity-enhancing,Markt. & storage infrast.,6194721.574,Reported
308,Asia,China,B5,Capacity-enhancing,Tax exemption,1062517493,Modeled
309,Asia,China,B6,Capacity-enhancing,Fishing access,275424947,Modeled
1853,Asia,China,B7,Capacity-enhancing,Fuel subsidies,3433436331,Reported
310,Asia,China,C1,Ambiguous,Fisher assistance,54898339.52,Reported
311,Asia,China,C2,Ambiguous,Vessel buyback,886222569,Reported
312,Asia,China,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
409,Asia,Cyprus,A1,Beneficial,Fisheries mangt.,633368.0092,Modeled
410,Asia,Cyprus,A2,Beneficial,Fishery R&D,148400.0015,Modeled
411,Asia,Cyprus,A3,Beneficial,MPAs,1131549.547,Modeled
412,Asia,Cyprus,B1,Capacity-enhancing,Boat constsruct. & renov.,84554.11951,Modeled
413,Asia,Cyprus,B2,Capacity-enhancing,Fisheries dev. projects,0,not found evidence of subsidy
414,Asia,Cyprus,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
415,Asia,Cyprus,B4,Capacity-enhancing,Markt. & storage infrast.,189954.8003,Modeled
416,Asia,Cyprus,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
417,Asia,Cyprus,B6,Capacity-enhancing,Fishing access,25864944.17,Modeled
1862,Asia,Cyprus,B7,Capacity-enhancing,Fuel subsidies,1336031.921,Modeled
418,Asia,Cyprus,C1,Ambiguous,Fisher assistance,56574.08145,Modeled
419,Asia,Cyprus,C2,Ambiguous,Vessel buyback,61614.16672,Modeled
420,Asia,Cyprus,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
722,Asia,Hong Kong,A1,Beneficial,Fisheries mangt.,1338136.823,Modeled
723,Asia,Hong Kong,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
724,Asia,Hong Kong,A3,Beneficial,MPAs,0,not found evidence of subsidy
725,Asia,Hong Kong,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
726,Asia,Hong Kong,B2,Capacity-enhancing,Fisheries dev. projects,40962323.03,Modeled
727,Asia,Hong Kong,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
728,Asia,Hong Kong,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
729,Asia,Hong Kong,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
730,Asia,Hong Kong,B6,Capacity-enhancing,Fishing access,71892110.84,Modeled
1888,Asia,Hong Kong,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
731,Asia,Hong Kong,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
732,Asia,Hong Kong,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
733,Asia,Hong Kong,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
746,Asia,India,A1,Beneficial,Fisheries mangt.,52122688.5,Reported
747,Asia,India,A2,Beneficial,Fishery R&D,26710263.24,Reported
748,Asia,India,A3,Beneficial,MPAs,4127834.913,Modeled
749,Asia,India,B1,Capacity-enhancing,Boat constsruct. & renov.,8531208.046,Reported
750,Asia,India,B2,Capacity-enhancing,Fisheries dev. projects,159275.6736,Reported
751,Asia,India,B3,Capacity-enhancing,Fishing port develop.,10530705.02,Reported
752,Asia,India,B4,Capacity-enhancing,Markt. & storage infrast.,2762127.639,Reported
753,Asia,India,B5,Capacity-enhancing,Tax exemption,45961256.01,Modeled
754,Asia,India,B6,Capacity-enhancing,Fishing access,15971345.57,Modeled
1890,Asia,India,B7,Capacity-enhancing,Fuel subsidies,90487776.48,Reported
755,Asia,India,C1,Ambiguous,Fisher assistance,8120990.291,Reported
756,Asia,India,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
757,Asia,India,C3,Ambiguous,Rural fisher communities,11272695.27,Modeled
758,Asia,Indonesia,A1,Beneficial,Fisheries mangt.,210754701.2,Reported
759,Asia,Indonesia,A2,Beneficial,Fishery R&D,56386451.51,Reported
760,Asia,Indonesia,A3,Beneficial,MPAs,41431606.13,Modeled
761,Asia,Indonesia,B1,Capacity-enhancing,Boat constsruct. & renov.,66744946.25,Reported
762,Asia,Indonesia,B2,Capacity-enhancing,Fisheries dev. projects,91542906.4,Reported
763,Asia,Indonesia,B3,Capacity-enhancing,Fishing port develop.,26823464.5,Reported
764,Asia,Indonesia,B4,Capacity-enhancing,Markt. & storage infrast.,140059127.8,Reported
765,Asia,Indonesia,B5,Capacity-enhancing,Tax exemption,98477275.81,Modeled
766,Asia,Indonesia,B6,Capacity-enhancing,Fishing access,1019127.28,Modeled
1891,Asia,Indonesia,B7,Capacity-enhancing,Fuel subsidies,141322801.1,Reported
767,Asia,Indonesia,C1,Ambiguous,Fisher assistance,4680451.016,Reported
768,Asia,Indonesia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
769,Asia,Indonesia,C3,Ambiguous,Rural fisher communities,56310415.98,Reported
770,Asia,Iran,A1,Beneficial,Fisheries mangt.,67491230.07,Modeled
771,Asia,Iran,A2,Beneficial,Fishery R&D,15813395.21,Modeled
772,Asia,Iran,A3,Beneficial,MPAs,5544576.344,Modeled
773,Asia,Iran,B1,Capacity-enhancing,Boat constsruct. & renov.,9696722.097,Modeled
774,Asia,Iran,B2,Capacity-enhancing,Fisheries dev. projects,130138.9601,Reported
775,Asia,Iran,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
776,Asia,Iran,B4,Capacity-enhancing,Markt. & storage infrast.,21784141.57,Modeled
777,Asia,Iran,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
778,Asia,Iran,B6,Capacity-enhancing,Fishing access,3609634.32,Modeled
1892,Asia,Iran,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
779,Asia,Iran,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
780,Asia,Iran,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
781,Asia,Iran,C3,Ambiguous,Rural fisher communities,8457798.834,Modeled
782,Asia,Iraq,A1,Beneficial,Fisheries mangt.,617482.2827,Modeled
783,Asia,Iraq,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
784,Asia,Iraq,A3,Beneficial,MPAs,0,not found evidence of subsidy
785,Asia,Iraq,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
786,Asia,Iraq,B2,Capacity-enhancing,Fisheries dev. projects,0,not found evidence of subsidy
787,Asia,Iraq,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
