Country,Type,Subtype,Class,Amount,Currency,Year,Source
Angola,R&D,R&D,A2,35000000,AOA,2017,Angola Budget 2017
Angola,Boat,Financial support fleet renewal & modernization,B1,80000000,AOA,2017,Angola Budget 2017
Angola,Boat,"Boat / fleet construct., renewal, & modernization",B1,2000000000,AOA,2017,Angola Budget 2017
Angola,Fishery Development,Institutional support and services,B2,59001361,AOA,2017,Angola Budget 2017
Angola,Fishery Development,Institutional support and services,B2,30438615,AOA,2017,Angola Budget 2017
Angola,Fishery Development,Institutional support and services,B2,896266154,AOA,2017,Angola Budget 2017
Angola,Port,Port & harbour construction & renovation,B3,344161867,AOA,2017,Angola Budget 2017
Angola,Port,Port & harbour construction & renovation,B3,27958993,AOA,2017,Angola Budget 2017
Angola,Port,Port & harbour construction & renovation,B3,192302675,AOA,2017,Angola Budget 2017
Angola,Market Infrastructure,Processing & storage infrastructure,B4,474151943,AOA,2017,Angola Budget 2017
Angola,Market Infrastructure,Processing & storage infrastructure,B4,474151943,AOA,2017,Angola Budget 2017
Angola,Assistance,Assistance-Other,C1,105872904,AOA,2017,Angola Budget 2017
Angola,Rural,Rural fisheries community development,C3,470502391,AOA,2017,Angola Budget 2017
Angola,Rural,Rural fisheries community development,C3,19457921,AOA,2017,Angola Budget 2017
Angola,Rural,Rural fisheries community development,C3,36037000,AOA,2017,Angola Budget 2017
Angola,Rural,Rural fisheries community development,C3,20000000,AOA,2017,Angola Budget 2017
Angola,Rural,Rural fisheries community development,C3,15587652,AOA,2017,Angola Budget 2017
Angola,Rural,Rural fisheries community development,C3,34270000,AOA,2017,Angola Budget 2017
Angola,Fishery Development,Development grants for fishery projects,B2,432288,USD,2017,"OECDStat, Overseas Development Aid, Fishery Development"
Angola,Fishery Management,Fishery management programs & services,A1,91722,USD,2016,"OECDStat, Overseas Development Aid, Fisheries Policy & Management"
Angola,Access,Access fees for third country agreements,B6,377318.47,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
Antigua Barb,MPAs,MPAs,A3,1182463.52,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
